due_key,title,desc,action,type
INTRO_REPORT,NA,NA,report,lab
DATA_REPORT,NA,NA,report,lab
MODTRAN_REPORT,NA,NA,report,lab
CLOUD_LAPSE_REPORT,NA,NA,report,lab
GEOCARB_REPORT,NA,NA,report,lab
PROJECT_REPORT,NA,NA,report,lab
PROJECT_PRESENTATIONS,NA,NA,presentation,lab
DECARB_BOTTOM_UP_REPORT,NA,NA,report,lab
DECARB_TOP_DOWN_REPORT,NA,NA,report,lab
DECARB_PROJECT_REPORT,NA,NA,report,lab
DECARB_PRESENTATIONS,NA,NA,presentation,lab
LAYER_MODEL_REPORT,NA,NA,report,lab
SOL_INTRO,NA,NA,publish,solution
SOL_LAYER_MODEL,NA,NA,publish,solution
SOL_DATA,NA,NA,publish,solution
SOL_MODTRAN,NA,NA,publish,solution
PROJECT_PROPOSAL,NA,NA,report,lab
